Filename    redshift    Central_x   Central_y   std_cube    sky_cube    mask_x_lower    mask_x_upper    mask_y_lower    mask_y_upper    guess_x guess_y guess_i guess_pa guess_rt guess_va  noise_type
/disk1/turner/DATA/new_comb_calibrated/uncalibrated_goods_p1_0.8_10_better/Science/combine_sci_reconstructed_bs016759.fits    3.60175699681    13  9 /disk1/turner/DATA/new_comb_calibrated/uncalibrated_goods_p1_0.8_10_better/Science/combine_sci_reconstructed_c_stars_7656.fits /disk1/turner/DATA/Gals1/K/obs_09/Science/combine_sci_reconstructed_arm3_sky.fits 3 22 9 28 10.33   17.0   0.930462444371   1.01829519442   2.9506532191    129.999488834 mask
/disk1/turner/DATA/new_comb_calibrated/uncalibrated_goods_p1_0.8_10_better/Science/combine_sci_reconstructed_cdfs_lbg_12.fits    3.06052124601    18  15 /disk1/turner/DATA/new_comb_calibrated/uncalibrated_goods_p1_0.8_10_better/Science/combine_sci_reconstructed_c_stars_7656.fits /disk1/turner/DATA/Gals1/K/obs_09/Science/combine_sci_reconstructed_arm3_sky.fits 11 20 9 23 13.36  17.16    0.545096975845 2.53397174012   0.178842584041  68.5784322752 mask
/disk1/turner/DATA/new_comb_calibrated/uncalibrated_goods_p1_0.8_10_better/Science/combine_sci_reconstructed_cdfs_lbg_20.fits    3.22456003195    17  12 /disk1/turner/DATA/new_comb_calibrated/uncalibrated_goods_p1_0.8_10_better/Science/combine_sci_reconstructed_c_stars_7656.fits /disk1/turner/DATA/Gals1/K/obs_09/Science/combine_sci_reconstructed_arm3_sky.fits 9 24 9 24 16.0   16.9853551892   0.700658412156  3.54900497157   1.27027537013   45.841918713 mask
/disk1/turner/DATA/new_comb_calibrated/uncalibrated_goods_p1_0.8_10_better/Science/combine_sci_reconstructed_cdfs_lbg_23.fits    3.24955022364    22  16 /disk1/turner/DATA/new_comb_calibrated/uncalibrated_goods_p1_0.8_10_better/Science/combine_sci_reconstructed_c_stars_7656.fits /disk1/turner/DATA/Gals1/K/obs_09/Science/combine_sci_reconstructed_arm3_sky.fits 7 25 15 29 13.5  20.6   1.23662567778   2.55716395765   6.85781021797   116.936023396 mask
/disk1/turner/DATA/new_comb_calibrated/uncalibrated_goods_p1_0.8_10_better/Science/combine_sci_reconstructed_cdfs_lbg_124.fits    3.79450913738    18  17 /disk1/turner/DATA/new_comb_calibrated/uncalibrated_goods_p1_0.8_10_better/Science/combine_sci_reconstructed_c_stars_7656.fits /disk1/turner/DATA/Gals1/K/obs_09/Science/combine_sci_reconstructed_arm3_sky.fits 7 25 10 28 15.8 18.5   0.598451874526  3.59825138548   4.9707713408    70.2792496728 mask
/disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_cdfs_lbg_14.fits    3.0876175719    17  19 /disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_c_stars_23991.fits /disk1/turner/DATA/Gals1/K/obs_09/Science/combine_sci_reconstructed_arm3_sky.fits 2 33 7 30 18.12 19.56   1.37827073902   5.59129961114   1.14786731767   131.643979567 mask
/disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_cdfs_lbg_24.fits    3.27820447284    18  15 /disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_c_stars_23991.fits /disk1/turner/DATA/Gals1/K/obs_09/Science/combine_sci_reconstructed_arm3_sky.fits 6 28 6 28 19.65    16.5   1.06711325877 0.92567830012   3.2873989427    48.1988331357 mask
/disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_cdfs_lbg_25.fits    3.32124552716    18  15 /disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_c_stars_23991.fits /disk1/turner/DATA/Gals1/K/obs_09/Science/combine_sci_reconstructed_arm3_sky.fits 5 22 7 27 14.26    17.03    1.13976764167  1.97443025535   0.251539892079  47.8032193237 mask
/disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_cdfs_lbg_30.fits    3.41864984026    19  20 /disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_c_stars_23991.fits /disk1/turner/DATA/Gals1/K/obs_09/Science/combine_sci_reconstructed_arm3_sky.fits 10 28 10 25 19.4  18.56   1.52978591978    4.23157933365   10.0028289011   55.3045359721 cube
/disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_cdfs_lbg_31.fits    3.41635303514    22  21 /disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_c_stars_23991.fits /disk1/turner/DATA/Gals1/K/obs_09/Science/combine_sci_reconstructed_arm3_sky.fits 12 26 15 26 19.9 20.2   0.911211653785  4.83431841513   8.08258957775   191.131400067 mask
/disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_cdfs_lbg_32.fits    3.41831214058    19  19 /disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_c_stars_23991.fits /disk1/turner/DATA/Gals1/K/obs_09/Science/combine_sci_reconstructed_arm3_sky.fits 14 25 10 25 18.43 18.58   0.918087664668   0.20332936571   0.139007464307  78.1938976931 mask
/disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_cdfs_lbg_38.fits    3.48815904153    19  22 /disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_c_stars_23991.fits /disk1/turner/DATA/Gals1/K/obs_09/Science/combine_sci_reconstructed_arm3_sky.fits 13 32 10 25 22.04 17.05   0.924179926839  3.94511709704   1.05236113386   48.0726494239 mask
/disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_cdfs_lbg_91.fits    3.16924904153    19  17 /disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_c_stars_23991.fits /disk1/turner/DATA/Gals1/K/obs_09/Science/combine_sci_reconstructed_arm3_sky.fits 8 26 8 26 16.7464002563    18.0852143935   0.849185882467  1.04645133606   2.30481937359   104.671631261 mask
/disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_cdfs_lbg_93.fits    3.24339    10  18 /disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_c_stars_23991.fits /disk1/turner/DATA/Gals1/K/obs_09/Science/combine_sci_reconstructed_arm3_sky.fits 3 23 10 31 21.6338417304 12.0607937751   1.55424528023   4.79027830144   6.34827064589   349.878994907 mask
/disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_cdfs_lbg_94.fits    3.36629348243    19  21 /disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_c_stars_23991.fits /disk1/turner/DATA/Gals1/K/obs_09/Science/combine_sci_reconstructed_arm3_sky.fits 12 30 10 28 20.676363074   18.6697996018   1.17404660465   4.14815587576   9.93755289516   118.461541281 mask
/disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_cdfs_lbg_109.fits    3.597852268371    17  27 /disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_c_stars_23991.fits /disk1/turner/DATA/Gals1/K/obs_09/Science/combine_sci_reconstructed_arm3_sky.fits 18 34 8 25 25.0172859639  15.2839492411   0.730786711691  4.98723889662   4.28692961567   66.4901914239 mask
/disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_cdfs_lbg_111.fits    3.60912507987    18  22 /disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_c_stars_23991.fits /disk1/turner/DATA/Gals1/K/obs_09/Science/combine_sci_reconstructed_arm3_sky.fits 13 30 10 25 22.1556663808 16.3891695085   0.830346535873  2.98747828625   9.96159937  115.174271955 mask
/disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_cdfs_lbg_112.fits    3.61673129393    19  17 /disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_c_stars_23991.fits /disk1/turner/DATA/Gals1/K/obs_09/Science/combine_sci_reconstructed_arm3_sky.fits 9 24 10 25 17.6085608835   15.1455553241   0.688423485577  3.90373876709   3.28592526549   94.9078596422 mask
/disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_cdfs_lbg_113.fits    3.62194488818    18  21 /disk1/turner/DATA/new_comb_calibrated/goods_p2_0.8_10_better/Science/combine_sci_reconstructed_c_stars_23991.fits /disk1/turner/DATA/Gals1/K/obs_09/Science/combine_sci_reconstructed_arm3_sky.fits 10 26 10 25 19.98 16.96   0.583451746075  4.18158314898   7.65925628756   85.3434220459 mask
/disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_n_c47.fits    3.067791  24  15 /disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_r39837.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 4 27 15 32 13.85 21.6   0.999750695191  2.16443934974   9.93216765101   75.2053315411 mask
/disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_n_c49.fits    3.1527153  15  17 /disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_r39837.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 2 27 5 27 16.0 14.0   1.14289363199   1.44520293843   9.74131946429   195.247514551 mask
/disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_lab25.fits    3.067451  15  17 /disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_r39837.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 5 25 5 25 14.79 14.15   0.397442991671    4.46366460981   1.04523751768   72.1461161304 mask
/disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_n_m19.fits    3.081808  19  15 /disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_r39837.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 8 25 10 30 15.229 20.73    0.395753632891    3.6078562091    1.00512219725   55.3874402209 mask
/disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_n3_023.fits    3.09774  17  15 /disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_r39837.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 5 25 8 25 15.59 16.44   0.814432118615  1.29295653296   0.923912500056  136.041739778 mask
/disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_n3_042.fits    3.06623  17  15 /disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_r39837.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 5 25 5 25 14.368 16.2916   1.05231453783   3.37921788326   0.85319933575   69.9326637651 mask
/disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_s_sa22a-aug96m16.fits    2.96214057508  21  14 /disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_r39837.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 4 25 10 30 12.92 20.2    0.968396017714  2.88312719871   2.90127453697   65.5919699884 mask
/disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_s_sa22a-c24.fits    3.09902105431  15  15 /disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_r39837.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 5 25 5 25 12.9407650859   14.0694433117   0.536709031177  3.14016447517   12.0669835256   53.6480414308 mask
/disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_s_sa22a-c30.fits    3.1019971246  17  16 /disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_r39837.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 4 25 5 28 13.7 15.4   1.22138763327   4.92836424143   0.116892663932  202.086488773 mask
/disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_s_sa22a-c35.fits    3.098850127796  15  20 /disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_r39837.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 12 30 5 25 19.35 14.48    1.20258660572   5.0945798482    0.245934948288  99.0734316118 mask
/disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_s_sa22a-m38.fits    3.29049520767  18  20 /disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_r39837.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 10 30 5 25 15.1 16.6   1.44400051575   5.08801553827   0.240638252803  337.111039807 mask
/disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_s_sa22a-md23.fits    3.07845361022  18  14 /disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_r39837.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 4 28 4 30 12.93 16.0   1.13617143677   1.77215017001   0.0448188223349 65.7138830884 cube
/disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_s_sa22a-md46.fits    3.08546277955  15  16 /disk1/turner/DATA/SSA_HK_P1_comb_0.8_10/Science/combine_sci_reconstructed_r39837.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 5 27 3 26 15.48 14.65   1.18202417799   0.59460391346   9.55185996389   124.462698361 mask
/disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_lab7.fits   3.095447 16 19 /disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_r33270.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 0 26 4 25 19.24 15.23   0.884864730129  1.9941595125    0.611816360894  78.9713633681 cube
/disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_n_c3.fits    3.09641 15 19 /disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_r33270.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 9 26 5 25 17.6 14.11   0.894977581043  2.46413753177   1.44260718261   83.0764808829 mask
/disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_n3_006.fits    3.0688087 19 18 /disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_r33270.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 5 31 6 28 16.5 17.9   0.658881509375  0.0129356709017 2.64874274862   97.8587615231 mask
/disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_n3_009.fits    3.06852667732 17 14 /disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_r33270.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 5 23 6 25 13.0 15.95   0.866926075847  3.60986031379   2.4273477513    50.0714501369 mask
/disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_s_sa22a-d3.fits    3.06890878594 14 17 /disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_r33270.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 5 26 4 25 15.6 13.5   1.12207832479   3.85348686843   2.62911779428   98.8556281487 mask
/disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_s_sa22b-c10.fits    3.28609 15 18 /disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_r33270.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 6 25 6 29 16.3880275037   16.3298849709   1.29372319567   4.48129008711   2.50284359981   200.343092995 mask
/disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_s_sa22b-c20.fits    3.1963456 17 17 /disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_r33270.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 9 25 6 22 16.2691680367 17.1373863497   0.934536466017  3.5590965139    0.589667147137  111.4390473615 mask
/disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_s_sa22b-d5.fits    3.17452028754 22 16 /disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_r33270.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 9 20 15 26 13.90901647069    20.0146351275   0.947746536345  4.12045920491   4.81251396516   72.0323855043 mask
/disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_s_sa22b-d9.fits    3.0836054 19 15 /disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_r33270.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 5 25 7 26 13.9468465639  18.3111299197   0.878262023536  3.38246107806   3.04365359867   51.2640524874 mask
/disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_s_sa22b-md25.fits    3.3043123 22 14 /disk1/turner/DATA/SSA_HK_P2_comb_0.8_15/Science/combine_sci_reconstructed_r33270.fits /disk1/turner/DATA/03-09-15_SSA_HK_P1/Science/combine_sci_reconstructed_arm4_sky.fits 5 25 10 28 14.128096905   19.3380511053   1.06955633179   0.258338259551  6.77092829022   150.792585112 mask
